epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3621.95,0.52582,0.64034,0.82376,0.93677,0.96843,0.97361,0.88438,0.44527,0.41378,0.80325,4.07762e-05,4.07762e-05,4.07762e-05
41,3709.08,0.48664,0.54747,0.81477,0.94536,0.95784,0.97539,0.88561,0.44515,0.41272,0.80333,3.7232e-05,3.7232e-05,3.7232e-05
42,3783.43,0.47681,0.52514,0.81508,0.94094,0.96628,0.97565,0.88712,0.44164,0.40742,0.80283,3.36878e-05,3.36878e-05,3.36878e-05
43,3857.94,0.47222,0.52009,0.81318,0.93908,0.97076,0.97409,0.88714,0.4415,0.40582,0.80274,3.01436e-05,3.01436e-05,3.01436e-05
44,3936.84,0.46821,0.51538,0.81226,0.94173,0.96945,0.97586,0.88813,0.43701,0.40177,0.80205,2.65994e-05,2.65994e-05,2.65994e-05
45,4017.75,0.46516,0.51174,0.81009,0.94228,0.97036,0.977,0.88891,0.43798,0.39762,0.80233,2.30552e-05,2.30552e-05,2.30552e-05
46,4097.78,0.46162,0.5024,0.80869,0.94382,0.96708,0.97722,0.89215,0.42914,0.39622,0.80056,1.9511e-05,1.9511e-05,1.9511e-05
47,4177.85,0.46132,0.49698,0.81141,0.94648,0.96901,0.97761,0.89199,0.43256,0.39559,0.80084,1.59668e-05,1.59668e-05,1.59668e-05
48,4259.96,0.45915,0.49442,0.80922,0.94474,0.97506,0.97865,0.89109,0.43461,0.38878,0.80135,1.24226e-05,1.24226e-05,1.24226e-05
49,4341,0.4577,0.49201,0.80989,0.94645,0.97104,0.97855,0.89246,0.43099,0.38849,0.80064,8.8784e-06,8.8784e-06,8.8784e-06
50,4420.44,0.4545,0.48785,0.80839,0.94828,0.97065,0.97827,0.89162,0.43352,0.38881,0.80097,5.3342e-06,5.3342e-06,5.3342e-06
